"iBAQ.CA_1"	"iBAQ.CA_2"	"iBAQ.CA_3"	"iBAQ.FA_1"	"iBAQ.FA_2"	"iBAQ.FA_3"	"id"	"Uniprot"	"Symbol"
657470	762600	0	0	0	0	321	"Q0B152"	"Bamb_6577"
0	65670	9100.3	0	0	0	415	"Q0B304"	"Bamb_5924"
1145100	1030300	960890	0	0	0	423	"Q0B3B7"	"Bamb_1270"
1042100	365030	0	0	0	0	468	"Q0B3X1"	"Bamb_5605"
343720	453990	241070	0	0	0	473	"Q0B3Y3"	"Bamb_5593"
1319900	1613800	0	0	0	0	480	"Q0B410"	"Bamb_5566"
750230	1061300	0	0	0	0	494	"Q0B469"	"Bamb_5507"
0	0	2420300	0	0	0	523	"Q0B550"	"Bamb_5174"
0	0	319340	0	0	0	1177	"Q0BDG2"	"Bamb_2255"
0	0	740640	0	0	0	1353	"Q0BF17"	"Bamb_1699"
0	269930	0	0	0	0	1361	"Q0BFB8"	"Bamb_1597"
573900	717040	0	0	0	0	1369	"Q0BFG1"	"Bamb_1554"
