"id"	"data$Uniprot"	"data$Symbol"	"iBAQ.CA_1"	"iBAQ.CA_2"	"iBAQ.CA_3"	"iBAQ.FA_1"	"iBAQ.FA_2"	"iBAQ.FA_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
25	"Q0B1N7"	"groL3"	23.2231426602433	23.0699734958156	22.9003044720038	20.8971127695559	22.0123626512824	21.1625708086515	1.70712479952432	4.89097169054059	1.82743710303603	0.00809638227031617	0.0860449226540141	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	0.182739109281015	1.30899179800394	"Not Significant"	"Not Significant"	1.06527475146543	2.09170899482621
26	"Q0B385"	"katG2"	21.8264057300821	22.091778849175	20.293112367292	20.0168572441412	22.3041028379023	19.4593995982393	0.810312422088771	0.782724849677222	0.770385446889256	0.477533696099443	0.452120164213463	0.159463366145984	0.195908668078693	4	12.260008396405	1.6764475622441	1.60760004138881	1.65951091149292	"Not Significant"	"Not Significant"	0.344746123332099	0.320995977978185
27	"Q0B4C4"	"argG"	27.3671971633763	27.2974535370017	25.7553179296324	25.3165163262851	27.6247767182342	24.3600459954962	1.03954319666501	0.942821845847515	0.972872279318731	0.399155802702704	0.344868347276426	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.82354744098508	1.71263447559735	"Not Significant"	"Not Significant"	0.462346664240935	0.398857552817966
28	"Q0B4V5"	"groL2"	22.8112155289036	22.7313190310251	21.1729206550948	19.9358901752743	23.2755448293917	20.3570278740895	1.04899744542266	0.890684935123695	0.964082049767243	0.423430626787485	0.349125058014243	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	2.08061586921177	1.77587390867994	"Not Significant"	"Not Significant"	0.457018979124055	0.3732177326091
29	"Q0B5P1"	"adc"	23.2779581943525	23.5185734416814	25.2736610208198	22.5430714799238	23.6751912453918	23.1412714606235	0.903552823638195	1.27458707946836	0.919165555215124	0.271464451734908	0.371444046008285	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	0.753805549675159	1.44947547463486	"Not Significant"	"Not Significant"	0.43010659870032	0.566287033206466
30	"Q0B5Y5"	"Bamb_4889"	22.5425284254443	22.8624572636728	21.845597244496	21.7117106591626	22.4837242757492	19.7777529540064	1.09246501489831	1.27184960384846	1.07948439006503	0.272341475281652	0.296124870597695	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.10671250456094	1.53629140886619	"Not Significant"	"Not Significant"	0.528525116049573	0.56488621428136
31	"Q0B602"	"acyP"	20.7676542810266	20.6027713458661	16.5241531341644	19.8914425651716	17.5281881011536	16.7423918105694	1.24418542805413	0.740693127321789	1.00363355893221	0.500002152053156	0.330258143283785	0.160002457251749	0.195102057241355	4	12.260008396405	1.6764475622441	4.23238191746754	2.3052133766058	"Not Significant"	"Not Significant"	0.481146465039368	0.301028126418383
32	"Q0B628"	"Bamb_4846"	22.3944061707532	22.7196069053889	23.594343741262	22.2978767937321	23.2221993947518	22.063947994377	0.374777544847723	0.744492262680763	0.393950534921703	0.497939039233727	0.698735879101324	0.160002457251749	0.230817170182504	4	12.260008396405	1.6764475622441	0.380117623612731	1.35754737301222	"Not Significant"	"Not Significant"	0.155686955764328	0.302823822993196
33	"Q0B677"	"fabV"	25.5102959936139	25.9656521959396	24.9063272998003	24.7462727900294	25.9880220411938	22.6007767944958	1.01573462121156	0.980603969395136	0.965556829159209	0.382309130016028	0.348408349901187	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.60940177671505	1.65995414258661	"Not Significant"	"Not Significant"	0.457911445304571	0.417585330366443
34	"Q0B6M7"	"metE"	17.9291428034411	17.5533743040713	17.3150993048087	16.2981326216734	17.7558394877893	17.1409588558683	0.534228482330087	1.16449358784271	0.564865407489051	0.308940990626211	0.579875716779651	0.15826794001991	0.210235179681809	4	12.260008396405	1.6764475622441	0.315697493223768	1.34169987064483	"Not Significant"	"Not Significant"	0.23666507764498	0.510124465211899
35	"Q0B712"	"betB"	23.1669586546637	23.3751752207998	21.3767655517059	20.506299831987	23.771729636465	20.2968131689132	1.11468559660136	0.863090212368752	0.995802846106302	0.436765422043258	0.333935188318383	0.158516021252998	0.195102057241355	4	12.260008396405	1.6764475622441	2.50197896802173	1.87953021402432	"Not Significant"	"Not Significant"	0.476337814886031	0.359751751279117
36	"Q0B8K0"	"ppnP"	24.7732398376297	25.0022154983306	23.9820702667709	23.2718459740904	25.1829089521128	22.4264705432635	0.958766711088162	1.09962614022359	0.944835728202878	0.333228497171131	0.358572210813253	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.14032078860945	1.54455912515001	"Not Significant"	"Not Significant"	0.445423371098732	0.477257865503659
37	"Q0B953"	"Bamb_3766"	21.3094141796211	20.8876252217366	19.3056342875467	19.6792223541886	20.7510732653661	16.2048003678348	1.62252590050496	1.0805532144679	1.37258140906939	0.340694198765513	0.188519839139862	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	3.38206707255104	2.09603394097784	"Not Significant"	"Not Significant"	0.724642939486878	0.46763526140006
38	"Q0BAC2"	"truA"	20.4694112906456	20.3612113118396	17.4413912131325	16.3138750340391	21.1081466636255	17.6976758953791	1.05077207419133	0.605335398006306	0.834908843252113	0.577621105367717	0.415868250423804	0.165538267921399	0.195102057241355	4	12.260008396405	1.6764475622441	4.51976819810121	2.37591107211184	"Not Significant"	"Not Significant"	0.381044234701383	0.238356946710437
39	"Q0BAC6"	"leuD"	26.194321171262	26.5091786670238	25.5008773685535	24.6159946070408	26.5148018056467	24.2807922882624	0.930929501963102	1.23033321498603	0.938690709340222	0.285979460550438	0.361625265750553	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	0.858774912867046	1.47529818287285	"Not Significant"	"Not Significant"	0.441741234190262	0.543665157395181
40	"Q0BAC8"	"leuC"	26.3257225413272	26.4976835115412	25.2484383743885	23.9152462640222	26.7480402809124	23.2268654804717	1.39389746728353	1.21610196676174	1.29093142236117	0.290802144824812	0.214780778673115	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.97066559873849	1.74882588563031	"Not Significant"	"Not Significant"	0.668004587449762	0.536402394641936
41	"Q0BAF9"	"mdh"	29.9680169547651	30.2348926961837	29.3262456157722	28.3941526366284	30.1792587778835	27.8585168172739	1.03240901164504	1.37362581368995	1.04201011578345	0.241513792394026	0.312653208784638	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	0.84734046199221	1.47248528128114	"Not Significant"	"Not Significant"	0.504937109761785	0.617058062471158
42	"Q0BAL6"	"tsaD"	19.2938757336573	19.5950316055227	17.8290413565951	17.4865993705064	20.1749939312194	16.7075209084887	0.782944828520174	0.66153914491286	0.718548432107146	0.544430536534682	0.48261781181765	0.163215003051751	0.198928239063029	4	12.260008396405	1.6764475622441	2.10107949150887	1.78090800750652	"Not Significant"	"Not Significant"	0.316396653767123	0.26405752366602
43	"Q0BAL7"	"folE2"	24.2026206741053	24.4250237702504	21.07789794276	16.9524227563929	24.4207261182832	20.9693021967707	2.4543637718896	1.01697920675804	1.62704282346601	0.366673110710349	0.122948594457793	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	8.73665076831287	3.41327402234107	"Not Significant"	"Not Significant"	0.910276431729768	0.435720937048655
44	"Q0BAL8"	"dxs"	26.0939598980811	26.3421301592939	25.4500722355582	24.8419654586029	26.5471025751533	23.6989055583211	0.932729566951975	1.07312535278939	0.919699488203643	0.34364227784717	0.371173155535069	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.13318765903006	1.54280435863194	"Not Significant"	"Not Significant"	0.430423440924529	0.463893410887886
45	"Q0BAN2"	"thrB"	23.6133551362128	24.05936690769	22.3839531453536	21.0576824228528	24.1451491521455	19.0607856329883	1.93101932708991	1.23665669096206	1.60778642568923	0.283860986711805	0.12712414234147	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	3.65734725160396	2.16375350725156	"Not Significant"	"Not Significant"	0.895771964080001	0.546894291940695
46	"Q0BAQ2"	"yidC"	19.2797103214543	19.7521356028086	18.6789301871523	18.5749999671464	19.8094698387597	19.0700160936435	0.0854300706218801	0.180065927316497	0.09014818016425	0.865855108619417	0.929270608607662	0.213309862961367	0.279669080986581	4	12.260008396405	1.6764475622441	0.337636745917341	1.34709697799157	"Not Significant"	"Not Significant"	0.0318577986956838	0.062554776333367
47	"Q0BAQ4"	"mnmE"	22.0555326757096	21.9069419601792	21.6375022497913	20.8593891895204	22.2001526744185	20.5370629031767	0.6677907061882	1.27512370522863	0.699972408225251	0.271292847902783	0.493838523839048	0.15826794001991	0.199515394999991	4	12.260008396405	1.6764475622441	0.411402911648524	1.36524362685738	"Not Significant"	"Not Significant"	0.30641503421346	0.566561655399105
48	"Q0BAT6"	"fmt"	21.7023130593233	22.016177144642	20.3165025158994	19.9075801958548	20.5574936178238	17.8742369539277	1.89856065075278	1.97316362269402	1.8350275288826	0.119734908076528	0.0848625026712818	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.38871782414986	1.60566537540148	"Not Significant"	"Not Significant"	1.07128416464693	0.921779214883229
49	"Q0BAU3"	"queC"	21.606752195112	21.7941588177043	20.9659251659708	19.5413046231808	21.7678967032482	19.2546272939746	1.26766918612785	1.52192331854567	1.25928197333589	0.20268247326475	0.225706469084055	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.04068090091856	1.5200474803189	"Not Significant"	"Not Significant"	0.646455993216231	0.693183804802328
50	"Q0BAV3"	"gatC"	25.4909380113479	25.6695256755378	24.8118622708347	23.7546045565888	26.2845742067478	21.9240469819916	1.33636673746405	1.03523996850492	1.19403179657878	0.359036846938472	0.249594719807752	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	2.49954242278345	1.87893081821126	"Not Significant"	"Not Significant"	0.602764606419952	0.444860978717269
51	"Q0BAV4"	"gatA"	25.2635961637711	25.2163047752297	25.0606042459181	24.0735734853091	25.6801639753151	22.7169517210643	1.02327200107677	1.191774402562	1.01118559952891	0.299224493945841	0.326739209158426	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.10582227720955	1.53607241086085	"Not Significant"	"Not Significant"	0.48579874645694	0.524002858835248
52	"Q0BAV5"	"gatB"	25.367930324809	25.1716157081689	24.0446856057149	24.0328824704105	25.5188135307218	23.6770210524559	0.451838195034878	0.646719262418621	0.460490956208703	0.553051657000379	0.651262509769756	0.163668272288817	0.221940471220345	4	12.260008396405	1.6764475622441	0.732192955743139	1.44415872610556	"Not Significant"	"Not Significant"	0.186243921470853	0.257234302144742
53	"Q0BAW3"	"metXS"	20.7880364288336	20.8968172261684	20.1958047203677	18.8093599269136	21.1961650488151	18.4887580657945	1.12879177794888	1.28067683241434	1.11018360962069	0.269523169358264	0.283068709381424	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.1653055838889	1.55070544307811	"Not Significant"	"Not Significant"	0.548108135205873	0.569403895071191
54	"Q0BAX4"	"argB"	25.9291771247005	26.262503369005	24.8259983288536	24.1926480016445	26.1832308617947	23.7228617179164	0.972979413734513	1.11820332593798	0.959196269406638	0.326099888660797	0.351506747791208	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	1.13568268089832	1.5434181398324	"Not Significant"	"Not Significant"	0.454066333516538	0.486649349473742
55	"Q0BAX8"	"hslU"	26.1465481669484	26.141587204687	25.1564577827941	24.9732058203012	26.2952828331223	24.6865095036478	0.496531665786097	0.834731838585154	0.514952512226734	0.450822308354606	0.613515415485077	0.15872210078235	0.214761278633409	4	12.260008396405	1.6764475622441	0.53075146577176	1.39460364961103	"Not Significant"	"Not Significant"	0.212174520506667	0.345994601597553
56	"Q0BAX9"	"hslV"	24.7724345937431	24.8983681539514	24.7133479149172	23.7800663247093	25.3053907565458	23.6499849976521	0.54956952790149	1.02868765839113	0.57518814386626	0.361760603495475	0.573038144749032	0.15826794001991	0.210064605596965	4	12.260008396405	1.6764475622441	0.428123915553215	1.36935703282792	"Not Significant"	"Not Significant"	0.241816467905839	0.44157873050033
57	"Q0BAY6"	"dapF"	21.6982909285356	21.8272589597879	21.7309874913153	19.6341020045778	21.46777070616	19.4202480957769	1.578138857708	2.42433927199247	1.62175565159786	0.0724225061157639	0.12408323735654	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	0.635616104620476	1.42040059541627	"Not Significant"	"Not Significant"	0.906286884216532	1.14012645088858
58	"Q0BAY8"	"metK"	28.9634764964516	29.0687646679124	28.3956241489099	27.5285782291588	29.1250692892214	27.0100930147133	0.921374926726769	1.375425188021	0.943780156920917	0.241000730360828	0.359095389491727	0.15826794001991	0.195102057241355	4	12.260008396405	1.6764475622441	0.673116275847682	1.4296257250258	"Not Significant"	"Not Significant"	0.444790170844842	0.617981641279086
59	"Q0BB33"	"Bamb_3084"	18.7440585800007	19.1613287438758	19.2737819427825	19.1653753216654	19.6518470345575	18.8553795068661	-0.164477532143343	-0.582633758059181	-0.177124356024186	0.591403911475771	0.861598304241337	0.167353084452607	0.264582308789358	4	12.260008396405	1.6764475622441	0.119539967332143	1.29344466164137	"Not Significant"	"Not Significant"	0.0646951644679145	0.228115807427882
60	"Q0BB41"	"cca"	20.520181275838	21.1804676764005	20.1643521034466	19.4755790789087	21.9434577468794	19.0794222812437	0.455513982884434	0.482465322620508	0.442022179758861	0.654689356948956	0.66429579521278	0.177827289674137	0.22478573546947	4	12.260008396405	1.6764475622441	1.337095655406	1.59296620145633	"Not Significant"	"Not Significant"	0.177638496499692	0.183964719190894
61	"Q0BB89"	"glmU"	24.2304467911525	23.9910969045838	22.3723347725788	22.4918922314065	24.4615144191074	22.5333601531862	0.369037221538317	0.422556017616951	0.363565743224784	0.694344549655872	0.720866127775087	0.184164460181308	0.235475162813329	4	12.260008396405	1.6764475622441	1.14409745881602	1.54548819483177	"Not Significant"	"Not Significant"	0.142145380726922	0.158424969196821
